,clusters
24038,11
1652,11
3701,13
3299,10
39567,10
30577,15
21767,13
25653,13
47580,5
6238,4
21540,10
2344,5
14336,8
42373,0
4829,5
36287,15
3078,13
33995,11
31349,6
39420,14
47112,4
47302,15
6309,7
43811,11
14198,11
39608,11
42879,4
41777,15
37448,7
18908,4
5525,10
47809,10
17270,5
6733,11
12490,0
34091,6
3651,11
18315,11
22963,9
36278,11
35119,1
38362,14
9515,5
48045,0
47761,1
34083,6
4784,11
47347,12
2152,10
41405,15
37845,5
42951,10
26586,14
28193,5
34656,5
28776,7
4955,10
45777,10
10674,3
49333,2
44427,13
15649,7
25537,11
32345,0
44801,10
6244,8
4419,5
40029,7
43446,12
30033,10
30823,12
1835,4
2686,8
25128,0
13896,5
8127,11
46797,15
7326,12
49116,7
44878,15
24280,3
20847,2
27499,0
44764,10
29751,5
18429,15
48076,15
38998,6
11090,11
5897,15
16946,11
26778,4
19957,1
24702,8
343,5
5214,1
24136,15
2390,8
30361,11
6319,13
47012,11
47726,15
20808,12
40385,14
26709,13
1604,12
28640,11
2370,10
5532,13
48730,12
29938,9
37656,6
21759,12
10236,12
37390,10
29887,10
26270,9
40349,3
29244,2
393,12
66,8
41719,8
21194,8
13609,3
47091,2
48651,5
27296,0
27861,14
8502,4
28918,11
25289,12
48284,10
28530,14
35547,10
15396,10
26461,5
38806,1
12277,11
26950,11
42033,4
22914,15
9748,0
46999,10
48202,11
32609,3
47029,6
29170,5
32840,5
21403,11
5831,8
3244,4
35833,11
25699,14
38367,3
7634,5
26936,15
3602,10
6713,15
18591,15
28287,9
35906,1
21724,11
46043,0
35219,10
6399,1
49542,1
18062,10
29131,7
17021,12
27191,2
35091,11
38079,2
28723,15
28921,11
30702,14
33863,11
48057,3
24402,13
25314,3
32369,15
37007,8
40155,10
6396,0
26254,13
23516,3
31650,15
40168,1
37818,11
10340,6
4747,11
8463,11
10787,11
3287,8
15041,11
12844,8
23774,2
5124,11
41637,1
24968,3
31092,11
46,12
49,7
33038,15
11772,11
22306,5
32856,12
17944,4
3335,2
28716,0
20930,11
44229,3
29310,14
18336,0
12748,0
43211,11
25763,9
16403,3
44065,11
32694,5
8899,11
44923,5
30516,15
28029,15
14116,10
10563,7
21471,9
22844,11
32390,5
6903,15
48234,11
23527,10
609,15
36523,6
34675,13
10321,10
26401,2
33651,5
22169,11
28248,10
8479,10
2157,4
37634,11
41253,13
22163,2
17927,3
5181,1
45883,9
36951,6
31789,7
34799,4
21287,14
39302,10
3692,5
7804,9
39882,14
16456,5
17832,2
22438,5
6788,3
12397,5
8030,4
31938,5
28443,7
7209,13
2578,3
31187,6
19067,11
8836,4
1985,13
45070,13
12609,15
35798,1
23338,7
44548,11
5887,11
10541,5
21359,14
36080,3
4131,15
20368,15
47144,11
14583,3
43861,12
12956,7
48159,5
36379,11
12671,5
43552,0
25322,6
28312,11
39804,14
36387,1
8691,1
16875,11
16643,11
14836,3
33710,6
30739,11
23579,5
9112,5
43396,5
8687,8
20996,8
33763,10
35759,4
21830,5
47588,3
27023,9
34547,6
7881,6
38250,3
18626,12
44690,5
23029,10
47134,10
39566,5
44358,3
35516,6
46482,12
46414,0
48326,3
18866,5
13543,9
39619,8
22497,15
5052,15
14278,13
34632,3
33508,4
8525,13
4978,15
42134,15
6129,0
16330,5
26852,0
16438,5
9803,10
7064,15
29258,8
27536,12
32,4
38093,7
29666,2
34378,3
18199,0
48468,11
18321,0
27419,12
19901,2
49412,11
15904,11
34419,3
37950,7
35722,1
35789,9
27470,7
790,10
20006,11
2997,1
47576,1
9971,6
42591,7
14951,11
8973,11
45147,3
10407,14
39001,10
33876,2
32831,12
44214,12
3075,15
29940,9
37179,11
913,2
32267,2
2672,4
6592,10
21905,12
27482,6
9125,15
32648,7
10982,7
23559,3
33169,7
26911,7
38764,2
10211,14
15874,0
28272,2
36032,11
37902,15
15314,8
42899,10
2296,2
49272,7
39641,1
29058,11
3666,11
38287,10
27737,11
25586,7
23503,10
42145,11
39537,11
12551,10
41690,2
45920,2
31904,7
37018,11
41121,11
41001,0
23215,11
954,11
49420,11
36795,10
26839,15
23840,3
1885,4
22371,11
31653,6
8603,8
19633,10
48337,11
48418,10
43378,12
8527,12
36181,11
9805,11
6620,2
27975,11
3536,4
30224,9
49019,10
47274,15
20042,13
1837,7
949,5
39742,15
6951,7
41375,11
28438,7
27415,5
13523,7
11254,7
21748,0
28388,7
22319,7
6062,3
1876,6
19926,2
24916,11
11258,10
38978,9
3026,10
6745,9
26833,5
14733,11
12696,10
23073,15
13683,11
26295,14
6336,10
6149,7
6406,4
43780,10
46216,3
49414,9
22812,5
22818,5
47941,11
3348,9
37080,7
42143,2
8500,10
21468,11
11015,11
42076,3
22263,6
30456,10
27870,0
40576,10
21021,10
49021,11
19429,13
29347,5
7527,3
5827,15
49060,6
23337,2
30044,11
253,2
32450,0
6100,5
15030,10
30639,6
16204,10
13770,5
9203,6
37446,11
625,11
27537,8
47824,15
4848,6
35508,1
9195,2
2159,12
37847,10
6831,6
1318,5
16981,6
12955,15
38669,15
15978,10
18950,15
46544,1
18455,5
23661,5
14589,7
47925,13
440,0
20809,9
1059,2
3624,12
20970,13
976,3
31730,15
17661,7
47958,7
49058,3
7154,1
37268,6
30921,11
46348,11
14155,13
36089,4
16906,3
11236,5
44777,3
18814,5
44514,13
22052,5
41480,14
14290,5
999,11
37858,3
9816,4
21432,6
41978,7
18111,15
13087,15
8689,2
18064,13
24660,5
17133,14
1783,12
36081,14
40838,8
25993,7
29858,15
6147,11
42942,11
28880,0
28769,10
25570,8
2124,10
6564,14
47260,14
18057,10
32233,5
8825,3
21442,5
12073,15
6885,4
48830,3
23851,6
25241,7
577,10
17860,15
45935,5
5234,11
48400,15
42673,6
23711,10
1212,8
36156,15
22019,12
27933,11
26259,11
20294,5
45134,11
33599,11
13526,12
43493,13
15636,3
14938,9
15213,3
26142,13
23468,7
30699,14
43511,7
43720,11
21865,6
6913,12
14686,7
20882,13
47055,11
11352,15
25217,6
49336,6
38630,9
39414,7
46514,6
44086,6
7637,11
44406,15
15094,0
12441,7
22668,3
24523,11
14032,5
17580,11
7235,11
1596,15
26216,13
47488,1
5701,2
44171,14
46098,3
6196,2
49537,4
6482,11
27533,8
15529,0
36489,11
2058,10
2115,5
25867,14
23387,15
36118,6
49440,15
46288,13
32894,12
30356,7
33811,11
44689,1
20323,15
30724,10
12273,15
8524,11
12863,14
116,5
3744,6
5461,5
24121,11
36441,11
46984,10
23983,5
24975,11
640,11
36671,6
46391,11
7073,5
2512,10
22897,3
45323,9
35986,6
17404,10
14783,15
20132,6
28079,6
16939,11
18828,5
17820,13
33609,15
2353,15
13113,10
35090,4
23580,10
47452,14
28231,0
46380,3
36517,11
6010,9
16148,15
46611,1
47459,5
10463,13
9215,8
26575,12
18433,10
6368,3
5901,5
47081,15
31017,15
24838,15
44195,1
45083,2
4358,5
46897,15
27306,9
9879,0
6873,4
10819,15
24189,6
28802,2
40616,10
18208,14
48899,15
21353,3
33265,3
17913,15
4993,13
40431,12
5845,2
15243,11
38492,14
28593,13
48868,5
830,11
36172,11
5720,10
8903,15
17945,5
7119,13
30043,11
43670,13
20487,3
9489,2
4391,15
37882,1
31330,11
13751,0
28542,11
14312,3
37502,10
29756,3
26373,15
1158,4
41252,4
47376,5
31015,4
39329,12
16916,10
1014,7
2561,11
16768,7
39721,3
30231,5
23993,10
39587,3
39076,7
44812,13
6143,5
41771,2
24608,4
14889,13
376,13
9710,1
6976,7
29541,12
37161,1
23854,8
19902,13
26826,10
42056,11
37289,10
11962,4
19937,11
13235,10
25562,4
39865,1
36087,6
21657,7
35534,10
34024,14
2040,10
34046,5
33212,4
14649,0
48881,12
8130,12
9932,7
5577,7
47808,2
30967,3
10739,8
32944,11
11253,12
28894,5
40062,8
24783,10
33881,14
35897,13
1992,0
834,10
8363,1
15788,13
34187,12
46717,11
885,3
45492,2
48763,4
19671,10
41473,15
14852,8
27917,6
5942,5
9141,2
22146,4
19363,9
12804,11
40044,7
19219,7
5799,10
39720,8
18149,15
36638,7
17987,13
36856,3
14645,0
33751,3
31954,3
22060,7
34967,10
27231,3
11351,13
30511,7
17838,11
24669,14
162,4
19800,5
43430,10
9321,11
18242,7
45933,10
28478,8
48006,13
21224,2
43039,3
11554,12
1656,6
21393,15
7967,6
28901,5
12161,5
13522,3
39122,7
914,0
12589,7
48139,13
18364,11
44357,6
39328,3
9954,1
5746,11
45752,12
22300,10
22961,11
19687,12
27146,3
31754,4
38119,8
15908,12
20068,5
416,15
12078,8
12252,5
35389,7
48552,10
45552,14
29884,15
36425,0
15049,4
2919,10
38748,10
38792,2
30680,11
21244,5
24120,15
7434,11
44775,3
3189,9
31806,15
34193,10
5316,2
14501,15
34028,10
18133,12
19149,15
35661,2
32302,12
8638,12
41241,1
11542,11
19969,4
9978,11
47840,15
24765,12
45849,6
33316,11
6704,3
28900,10
48164,3
9202,11
48074,8
38739,6
25298,8
43450,15
745,8
2784,15
23693,11
12072,11
29151,2
23036,15
2312,3
29625,3
10796,10
9211,15
18491,6
46758,12
23626,6
37640,1
2941,11
18078,2
21172,11
28841,4
43241,12
9249,7
35358,1
2787,11
32478,3
30445,11
7425,10
35027,10
40435,10
6114,11
6242,7
33600,2
19188,2
12074,0
11884,10
19465,3
1133,0
17285,3
23332,6
6442,7
49165,12
16541,10
2092,10
9041,15
8208,12
45942,11
31080,10
13191,5
36222,1
11839,5
2880,5
45278,10
41300,11
47133,5
29638,5
32591,15
15940,3
29032,5
2208,10
5500,10
15408,6
26758,0
10561,4
14411,15
49434,15
46926,10
48277,11
48200,3
44912,15
9288,0
382,9
17756,2
8782,5
20112,15
31542,14
5493,12
40570,12
14770,12
20065,15
27487,10
40472,11
39987,11
45358,10
43197,10
36494,13
31180,9
40022,10
2361,7
24405,2
26757,7
19195,11
42796,11
42251,2
4897,5
6478,15
5723,13
1151,9
14952,12
30134,9
36412,11
20176,12
879,9
11242,4
34293,3
3687,11
28967,7
25287,3
29553,9
2225,11
14301,11
44228,15
12086,10
29539,14
21377,3
26728,11
4885,11
5490,5
19777,8
38996,11
12251,6
46506,11
11144,7
40546,14
21732,7
2496,1
33254,13
14578,8
6390,11
10537,11
2319,3
13479,4
15205,12
34075,11
40416,4
17047,6
19020,12
38058,8
26140,10
36858,15
3363,15
13061,5
6940,7
40789,3
44246,12
2465,10
45426,1
37703,13
44805,11
15906,11
41520,0
10222,5
43267,10
13201,9
2939,10
4758,11
20420,10
47615,7
48351,11
13997,11
13865,2
46461,15
6834,11
46203,11
21661,15
29836,10
3339,6
16011,1
3225,11
38276,10
33135,8
28952,14
35080,4
49372,2
27581,7
40689,14
33552,6
48338,14
7023,2
42926,10
32489,13
32959,5
46776,10
7109,5
41932,2
13021,7
19779,4
21592,6
23504,6
33936,7
208,11
1245,2
13743,1
4399,15
40339,11
17092,5
28399,15
34904,7
21747,15
16823,11
46132,15
30012,14
5127,14
38557,11
37688,9
22889,10
29285,10
49280,10
46240,10
35353,1
4316,7
23280,14
38294,15
296,7
13562,5
13551,11
2450,5
19520,9
35238,10
6455,5
20588,11
35606,11
30594,7
49190,8
49220,4
28655,5
25560,5
10947,14
871,11
41596,11
45793,3
17323,11
21300,10
25359,7
35705,3
11460,15
43819,13
5619,7
34890,11
36293,1
34307,15
26459,15
35306,12
500,1
49246,10
1909,7
9039,15
18549,7
23005,2
23933,11
14515,10
15713,5
13932,6
2431,10
35748,1
22196,6
5401,5
4154,2
40819,4
44795,7
19266,2
29985,12
23489,9
5929,7
835,7
12642,13
22392,12
12920,7
49540,7
36678,11
2473,13
12906,5
36365,8
49456,8
19647,11
36984,11
42744,1
3227,3
36789,6
10153,0
6843,6
45527,3
27264,15
44631,11
13684,10
21577,11
13833,5
39834,10
2713,11
21860,5
36215,10
3825,10
2160,6
30760,11
15035,9
43103,10
193,7
34894,2
34061,11
43374,0
36740,8
48486,10
2651,3
498,10
26128,11
47027,11
23084,10
26818,14
161,5
46000,7
33529,8
26574,11
11170,15
36037,10
48998,11
37244,1
38421,7
19089,9
3228,14
18088,13
26404,5
35281,10
20564,5
40281,2
3248,11
12423,4
7823,10
9480,0
18918,11
10140,11
33922,0
45532,10
48884,7
29864,15
17789,14
35790,10
25863,14
40407,12
11655,2
35322,2
1917,3
15493,7
10809,6
27675,8
31520,5
7671,11
12706,8
23077,11
23905,5
26352,13
2252,10
406,3
41321,11
35075,15
49318,14
36454,11
1366,11
12688,5
6289,11
28558,7
29483,4
4811,5
7623,2
2305,10
49197,7
35719,14
38442,10
5331,11
36704,10
799,9
39920,13
39671,2
41692,10
35036,1
14747,5
5253,7
25925,2
42286,12
30196,7
12436,6
25019,12
35134,7
21326,10
2762,12
10780,15
8959,9
19878,13
28006,5
15080,5
29496,11
3083,4
29355,3
10989,7
10875,15
11066,1
3145,10
26591,5
45635,11
28331,3
17630,9
8328,15
43779,5
22224,7
34492,11
49541,15
13596,5
42712,11
46806,15
39761,13
44933,10
34763,0
33423,13
22588,11
16933,10
34980,1
9975,10
11988,7
11418,5
30107,8
1450,1
2861,10
41693,1
26878,15
13283,5
45498,11
38444,1
28262,5
41739,11
10576,11
31100,5
46905,3
21330,10
33269,15
26343,6
21332,6
46678,13
27795,11
31478,15
24194,15
36354,10
17961,13
5830,13
5045,11
22506,10
9428,11
44509,10
39695,7
20946,11
36696,10
5103,14
24130,5
15666,6
30055,15
47045,10
20054,11
6799,5
17339,7
17774,11
42309,7
33986,11
34475,13
8674,2
11751,11
19734,11
20495,11
45474,12
47541,5
47370,8
29249,13
28812,7
4832,10
2960,12
26126,12
12866,11
47895,3
10873,6
22465,2
48465,3
6329,2
35400,11
45138,6
17508,13
41530,0
5726,3
31931,4
33199,2
40120,0
5918,7
48950,13
20081,11
31674,7
36862,6
13868,11
24806,10
179,11
34267,11
16243,11
18986,5
9422,11
25347,5
36711,10
8948,11
44527,3
43706,6
37945,3
28976,10
13401,8
25255,3
32375,11
3688,10
46982,11
17035,6
36043,10
46012,13
10020,12
7528,12
1577,2
4349,13
19676,4
12744,2
26002,7
2913,5
40026,7
653,3
27232,11
7303,10
13838,6
20061,0
44108,3
4136,15
29546,9
30071,7
7898,1
31199,6
36504,6
7034,10
7638,5
44877,10
41712,11
32194,15
38226,15
25378,11
38534,4
4298,1
9121,7
25921,5
37473,9
42224,11
10342,10
36051,5
29134,10
23076,13
31566,4
34795,1
44702,12
23710,3
43444,0
18480,3
31088,5
13994,5
19278,5
43003,15
10073,7
42118,1
34819,10
25933,6
11913,0
35599,1
22870,4
21139,3
21115,11
18116,3
41278,9
20121,11
33000,14
1575,4
34158,12
4847,13
38343,9
8056,10
36622,5
5512,10
29356,5
6651,11
23778,8
26452,7
6725,10
8213,3
23688,15
45922,10
12000,4
3097,10
7525,3
26523,15
17871,4
10603,12
12632,15
24966,5
38296,12
17495,5
36264,15
37828,15
3621,15
2430,15
33436,8
19707,2
15734,3
45228,1
14703,15
6148,15
28698,5
33125,10
36628,13
18833,5
31941,7
25973,5
5204,9
18701,13
26311,2
5567,5
972,0
1104,5
30804,5
44940,7
18627,6
15822,6
47929,10
12658,15
28935,9
36798,5
1466,15
48550,10
34263,5
13208,15
22545,6
38429,2
15104,10
11746,8
9326,4
3493,8
28336,11
13699,11
37426,2
20528,10
4368,10
30213,5
27653,4
24336,14
3649,4
17139,10
15553,10
33108,3
46093,5
27570,1
27877,0
26487,2
35951,5
34313,14
4003,13
34268,11
40650,15
24353,7
20397,10
15580,13
45563,5
49069,12
33439,10
16308,15
19714,0
33283,8
21184,3
41057,14
47162,11
5296,7
607,10
22902,10
28661,13
36208,3
22427,10
16194,15
7780,7
27370,3
4350,13
28664,11
46184,12
11845,10
8196,0
24162,5
30740,11
38435,2
19405,10
5470,1
8267,11
14202,5
7380,15
30690,13
40323,10
44039,11
28486,10
32771,10
29942,13
33894,0
39727,15
10769,2
40657,5
15752,7
43773,12
37009,8
15406,2
6841,0
1408,11
23491,7
24730,12
34712,11
30683,4
48848,15
1364,11
17803,4
916,14
30316,12
8279,7
28459,4
2567,5
29477,15
19752,6
43285,5
46489,5
38507,11
41486,4
21133,11
34295,8
32500,10
17154,11
8028,5
17775,9
30018,11
37880,4
6117,2
27268,9
48744,7
31488,10
45243,9
43336,4
35329,10
30887,10
42250,1
17572,7
28456,14
21513,10
46117,15
19032,5
29935,0
20172,5
21124,9
45952,7
6589,15
36679,13
33329,6
9988,13
24811,15
36863,9
15301,13
16948,11
15246,3
5651,7
24421,3
41720,11
6254,11
27895,10
10064,1
36361,12
23220,12
39127,11
25341,14
634,3
34856,15
5133,9
35532,11
46945,14
46734,1
8920,4
18552,11
35844,11
12275,15
15697,5
24357,11
25183,11
9950,10
29364,11
45116,1
26387,3
420,2
30674,2
336,1
27620,15
2961,5
14134,3
2168,11
24344,3
25798,5
13001,7
37030,11
38004,13
47854,10
42,12
24738,2
47930,1
6009,11
12155,15
37475,13
30199,5
48991,13
4948,12
46491,14
19786,7
37621,4
46226,10
29664,8
36320,1
45384,11
40367,11
12965,2
7633,4
42585,0
36162,10
42326,4
36091,12
34896,7
20444,5
11567,11
36830,4
8423,13
7797,1
35352,6
23690,3
12576,3
49340,12
10702,13
36086,6
7420,1
16816,14
31110,12
16180,11
39521,7
39337,6
41793,11
22325,6
40832,11
21913,5
12293,11
19068,9
23724,2
13557,15
15535,11
24573,11
1447,10
19781,1
44700,10
12425,0
21564,6
44069,4
194,3
12060,6
39423,6
10177,12
41906,0
22430,15
17099,11
32915,3
25764,5
46740,7
13600,3
18616,9
2440,11
33175,10
22622,2
765,10
26124,10
25257,5
12347,13
17682,11
18131,4
3526,12
17472,11
7919,3
2441,10
40809,0
4425,9
44618,11
3315,11
24389,10
47731,14
24074,11
31154,4
42572,0
23825,10
7914,5
18409,11
33372,7
29566,3
13287,5
49507,2
21400,13
27730,4
19803,10
29400,13
47419,0
1536,12
35280,11
33400,11
33545,5
7749,11
22034,2
6701,7
11925,11
31875,11
48534,10
17664,4
32494,9
32657,3
39616,1
14533,6
11968,2
35031,3
1826,3
1964,1
36758,5
11479,11
29498,8
48539,10
15803,11
20663,11
43250,5
4005,1
15834,10
28939,3
20106,3
24403,5
48696,0
20934,5
17368,11
41765,6
25512,0
8182,1
3067,10
44263,3
30599,11
10061,5
13434,8
17998,1
557,10
13926,11
18244,5
3660,11
44814,14
28464,7
47066,6
11263,11
40444,10
15952,7
9565,8
30912,9
3125,10
12786,10
30027,12
42443,13
30562,11
34458,6
19931,3
16647,3
21018,7
22872,6
44760,3
20126,11
30024,11
37809,3
49258,5
24203,4
11564,11
36305,15
36975,11
33222,12
9226,5
48546,8
41136,10
5961,2
42986,10
29870,10
255,11
30981,12
8801,2
6902,10
6265,7
19053,6
16230,6
35685,12
22833,6
45247,11
1828,10
47874,15
28442,0
19971,3
6379,14
18001,11
14384,8
14661,15
5906,8
1808,10
30312,5
6020,7
27018,5
22929,4
24715,5
2258,4
11330,12
3306,11
14997,11
27928,3
46350,10
7122,3
24883,11
25009,4
30227,1
25026,3
28788,0
37359,10
43176,3
24791,11
12691,0
42517,12
12654,9
12895,11
48017,12
44815,14
11735,3
43312,12
6555,3
46798,14
14442,10
21276,3
45444,11
30655,10
10067,15
49181,1
21619,15
46199,6
36152,11
9937,2
11744,13
35980,10
38405,7
36005,15
28369,4
39066,1
43138,4
20523,14
48008,11
4072,6
43682,7
23037,15
17090,11
23027,12
26023,10
6504,8
36376,15
14447,11
41829,11
47030,6
36719,11
37202,10
5640,1
8516,5
30622,7
29219,4
47061,5
36706,12
48260,9
10056,11
31363,3
46450,5
3186,7
39778,3
34642,14
34703,10
31989,3
33539,12
39744,11
43351,11
12708,5
19669,8
22133,6
35268,1
4834,7
35147,12
10659,15
28076,7
12528,7
23525,6
23282,10
40864,3
25299,8
15614,0
44686,10
38424,5
36923,11
3839,6
28192,0
25922,6
11982,11
1337,7
17479,0
34249,0
10929,11
36915,2
5608,15
44771,14
9142,0
31290,11
19778,13
30609,10
18764,3
23458,7
42672,9
46417,11
9465,14
17693,12
11685,11
48241,11
14074,8
38439,2
14823,8
23409,3
21200,8
29737,5
29837,4
33340,11
9345,2
27236,7
14673,11
23534,11
42693,8
18160,10
32263,11
37649,5
48316,15
31207,11
27825,7
29572,11
43385,11
2207,5
36330,15
37419,11
29419,11
35631,10
38121,9
11489,3
40890,15
26898,15
18887,13
32951,10
19745,15
29383,13
27585,7
13427,7
30021,12
11717,3
15866,13
2742,15
14500,11
29180,2
45248,15
19157,10
11235,3
11836,9
15084,7
22708,3
48085,10
25421,8
18512,5
47765,6
47338,10
23142,11
43742,3
20007,3
35257,8
46297,15
25020,0
45445,13
12167,11
21479,6
18495,4
36150,6
3212,6
14510,0
41217,5
42465,5
29906,15
30899,5
43352,0
6695,8
32881,7
29812,5
22810,2
18744,2
27158,3
14366,11
9306,7
20134,11
21856,15
12185,13
23330,3
23576,14
4274,0
3968,8
24008,3
43260,7
6911,2
10214,8
23253,5
30393,0
32457,2
47754,13
19139,6
43066,11
17288,11
20459,5
30392,13
41882,15
28797,5
8747,14
47500,14
32525,4
8900,13
21722,5
33734,4
1281,2
22742,5
32419,13
24635,15
7102,10
14149,5
9544,11
42383,6
13814,7
17480,13
12082,12
44502,10
27285,7
17911,7
22713,5
33374,10
25085,15
9849,10
9985,9
16585,5
48333,6
39045,7
42276,13
12246,0
11863,4
40452,7
48144,3
23206,3
22657,12
13264,5
27996,0
24278,11
31132,15
12128,4
5172,10
48231,3
22404,5
29998,11
20453,7
26756,0
168,9
44129,1
22886,6
15107,14
25121,0
1258,11
27099,4
16747,15
11682,5
43866,8
30546,12
8029,5
38500,0
15945,10
4817,11
24612,12
15967,15
10936,4
27639,11
3425,15
6133,0
32325,10
46064,11
38269,11
29409,2
30705,5
32147,5
27821,2
40804,5
26659,8
35975,15
2368,11
29120,7
1663,5
42151,4
33793,11
23583,13
44564,2
2211,10
37074,11
39456,3
26020,11
2104,5
42157,1
30334,11
21866,3
40171,3
5259,5
36759,11
41727,11
29959,12
19698,5
5931,7
9973,5
36394,0
19283,0
31152,2
12964,5
12408,11
14615,2
40884,11
39020,13
43010,11
26498,2
6419,5
43175,10
26784,4
17012,12
1199,3
44326,10
19153,5
6292,1
43928,11
409,11
2403,10
46788,0
47743,9
6050,10
17431,6
34416,13
17006,11
34941,12
26577,7
19172,11
45584,10
1984,2
20144,12
24419,10
13332,2
36272,3
43489,11
3207,11
35712,10
9820,0
20464,11
35515,11
35938,1
10139,6
25574,7
17665,14
10361,15
47706,5
2379,3
33702,10
17348,6
38600,3
13240,10
28031,2
12112,11
34004,10
2753,11
744,14
15657,11
10715,8
14055,5
24424,12
49506,11
13278,3
5383,15
13821,5
20661,11
31025,9
8022,15
4018,14
42121,9
40074,15
6116,15
49304,9
48118,4
30347,10
48224,5
21825,15
6340,10
35279,7
48120,0
223,9
45548,10
44118,15
36578,6
10445,0
2980,3
17805,7
16705,7
27934,12
17758,2
48608,11
14214,4
48993,5
10285,11
39188,8
36687,11
14010,5
28798,10
46853,0
36717,3
22180,2
20871,0
23976,6
27488,2
22448,3
33872,3
752,2
44519,12
1771,1
12918,7
25022,2
26408,10
29072,2
21313,3
2956,3
45053,7
48819,6
16562,11
18467,2
45129,5
42658,7
21106,7
19092,7
36556,3
1463,10
25159,7
35822,8
38075,4
452,6
17353,11
27697,14
24706,14
7057,12
10899,5
9378,2
28361,5
36804,5
22161,5
29330,5
47115,7
13709,8
9661,6
13565,0
15651,3
25489,11
1894,11
5615,10
24506,7
2232,15
4193,12
38174,8
35762,6
7391,10
19455,12
13931,3
47594,11
31489,7
35391,7
8630,0
40530,3
49390,11
17939,7
39407,11
19467,11
47938,11
9493,2
47037,7
24377,13
6250,15
4663,14
42707,3
17347,11
19317,11
10274,11
20710,11
9527,11
23578,9
2581,15
42273,4
30186,8
18313,14
6508,0
1870,6
45696,4
48432,11
24579,10
43798,15
11230,8
28715,6
42287,3
35183,11
13396,11
25597,2
42243,10
47639,3
37092,1
10699,3
11467,8
1177,4
4149,9
41482,9
30366,15
41268,4
35194,3
48789,8
37937,11
23645,8
45257,11
31257,11
14109,11
28957,12
44832,15
47289,11
14184,11
19249,2
19583,4
34038,2
12587,7
240,5
38494,5
34435,10
29270,2
37839,15
42337,7
49581,15
14387,5
1486,15
18032,7
43018,11
17078,5
33634,0
37791,3
4304,10
10470,12
35962,11
35089,4
2685,5
4252,2
4485,12
17811,7
20364,3
269,7
24625,10
5113,10
7597,1
31104,11
12565,0
36307,11
14050,0
13885,11
47853,11
12048,10
42410,11
12610,13
13246,5
47829,14
12169,11
12969,11
46542,5
6439,1
42565,11
45176,12
45992,5
26868,11
16140,6
12978,5
12288,10
28875,5
8770,15
19804,8
29674,11
31605,6
30889,5
37124,10
3868,9
19043,2
35188,3
27441,6
20689,3
42040,11
43590,11
19165,7
6752,3
17611,14
7314,2
19466,2
40585,11
43041,11
17282,5
10821,15
47946,5
21033,7
21554,6
24202,15
21180,5
14650,13
35638,10
257,11
29277,15
5650,13
39073,1
37461,15
18915,11
31281,14
3668,15
62,11
15753,5
16010,4
46671,1
6192,5
41550,3
21622,6
17899,3
26613,4
21616,13
39606,5
27903,15
43019,11
31623,5
1102,7
2486,10
22434,9
48627,11
29817,12
20649,3
40167,10
32000,5
17794,11
39082,7
3895,0
38465,15
20390,12
12268,10
21573,12
682,2
13778,14
43111,1
10518,10
34360,5
22175,2
722,2
47224,11
41880,11
30211,2
40445,10
32321,3
26483,11
8573,11
13661,11
433,0
18104,14
35710,6
21735,4
36191,9
16179,9
36794,10
2067,2
34970,12
6572,6
10347,12
33676,7
47261,13
29034,12
8945,15
25477,15
9603,2
18838,15
9450,15
13393,11
49394,5
24451,13
27686,8
1841,10
49422,13
23236,6
2038,3
9498,5
38144,8
9845,14
43232,1
10213,12
18246,5
13794,4
18615,11
42988,4
37500,3
46693,6
45099,13
37840,4
10387,1
793,0
16721,3
18844,5
32336,5
28675,7
10216,15
41585,15
5371,11
12483,2
11814,13
48680,15
23339,11
9528,9
37671,1
35953,1
10404,5
10536,12
5970,7
32178,15
30329,6
3909,3
38988,1
47486,12
34729,1
42943,15
36562,11
9750,15
29328,0
24033,4
41539,4
46939,1
20751,11
19480,15
9477,6
7522,10
22582,14
27327,14
31315,6
4686,5
9819,0
7952,5
16259,3
26182,11
30373,8
16583,2
27636,3
32379,11
26595,10
37753,12
5497,3
2487,10
48600,14
3326,11
17177,12
34745,1
7603,1
1743,3
39278,7
43581,4
29432,6
35088,10
42122,2
9729,11
1980,1
16942,11
2129,3
9023,4
16586,11
48344,3
17696,5
48496,11
11768,5
35934,9
24246,8
40115,11
47823,0
31712,15
48332,11
1559,2
43655,10
16723,10
49349,7
46407,10
14626,10
11637,3
49573,10
44826,8
1252,12
19243,14
27664,11
48808,10
17428,9
12209,9
15268,15
21273,13
31501,5
26127,11
24057,10
45240,5
15295,6
39901,3
29366,5
40693,13
31197,11
15368,12
41374,7
5665,11
25117,7
6988,13
16078,15
23275,5
26014,13
47767,7
16531,4
46924,11
10791,11
37470,5
31833,9
15741,9
18692,2
28136,0
39763,7
10629,11
20567,10
14794,6
28390,0
44216,4
35684,12
41686,12
11019,6
3113,13
20321,14
25650,0
32659,7
8333,1
45400,10
6656,10
29603,10
24840,11
47610,7
27834,10
13458,0
14741,4
38042,10
13003,10
26927,11
3010,3
10944,11
9067,14
38872,9
23166,5
9201,11
36110,10
16553,7
1055,12
6063,0
38704,2
34572,10
9140,10
35659,1
4089,0
42924,4
21844,9
8358,9
4919,5
6177,11
10163,11
17417,2
20888,8
23514,5
16984,15
33138,11
23877,11
49023,11
15261,5
47431,3
5935,2
10551,5
46326,15
25540,0
14077,0
2393,11
46364,11
4139,14
47188,8
3539,0
22415,5
